№ Тест кейса,Пункт Требований,Описание теста,Предусловия,Шаги,Ожидаемый результат,Фактический результат,Severity,Priority,Примечание
1,AC-1.01,Проверка перехода с главной страницу на страницу регистрации,Открыта главная страница https://alpha.it-roast.com/,"Нажать на кнопку ""Начать путь""       ",Открывается страница регистрации.,Открывается страница регистрации.,,,
2,AC-1.02,Проверка перехода  из формы авторизации на страницу регистрации,Открыта главная страница https://alpha.it-roast.com/,"1. Нажать на кнопку "" Войти""
2. Нажать на ссылку ""Присоединяйся""",Открывается страница регистрации.,Открывается страница регистрации.,,,
3,AC-1.03,Проверка возможности регистрации с помощью Google аккаунта,Открыта страница регистрации https://alpha.it-roast.com/registration,"1. Ввести в поле ""Войти с Google"" валидный адрес эл. почты Google, значение <olga.maksimova.trainlab@gmail.com>
2. Нажать на кнопку ""Зарегистрироваться""
","Система обнаруживает использование адреса электронной почты Google и перенаправляет пользователя на процесс входа через Google, а не на процесс регистрации нового пользователя. При этом идентификационные данные (Логин и Пароль) заполняются автоматически","Система не перенаправляет пользователя на процесс входа через Google. Не происходит автоматического заполнения индификационных данных. Появляется ошибка под полем ""Логин"" - ""это поле обязательно для заполнения"", под полями ""Пароль"" - это поле обязательно для заполнения",,Hight,баг
4,AC-1.04,Проверка ввода адреса эл.почты с точкой в локальной части email,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" валидный адрес эл. почты, значение <olga.maksimova.trainlab@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik>
3. Ввести пароль в оба поля  ""Пароль"", значение <Qwerty12>
4. Нажать на кнопку ""Зарегистрироваться""","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Не появляется сообщение об успешной регистрации: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""  Нет перехода в личный кабинет участника, но вход с помощью данных логина и пароля возможен.",,,баг
5,AC-1.04,Проверка ввода валидных данных,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""e-mail"" валидный адрес эл. почты, значение <olga.maksimova@gmail.com>
2. Заполнить поле ""Логин"", значение <olga>
3. Ввести пароль в оба поля  ""Пароль"", значение <Qwerty12>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Не появляется сообщение об успешной регистрации: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""  Нет перехода в личный кабинет участника, но вход с помощью данных логина и пароля возможен.",,,
6,AC-1.11,Проверка ввода несовпадающих паролей,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""e-mail"" валидный адрес эл. почты, значение <olga.maksimova.trainlab@gmail.com>
2. Заполнить поле ""Логин"", значение <olga>
3. Ввести пароль в поле ""Пароль"", значение <Qwerty12>
4. Ввести пароль в поле ""Пароль"", значение <Qwerty123>
5. Нажать на кнопку ""Зарегистрироваться""","Появляется ошибка: ""Введенный пароль не совпадает""



","Появляется ошибка: ""Введенный пароль не совпадает""



",,,
7,AC-1.05,"Проверка ввода пароля, состоящего из цифр",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Логин"" валидный адрес эл. почты, значение <olga.maksimova.trainlab@gmail.com>
2. Ввести пароль в первое поле ""Пароль"", значение <12345678>
3. Ввести пароль во второе поле ""Пароль"", значение <12345678>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется ошибка: ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется ошибка: ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
8,AC-1.06,"Проверка ввода эл почты без точки ""."" в доменнокй части адреса",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Логин"" валидный адрес эл. почты Google, значение <user123@gmailcom>
2. Ввести пароль в оба поля ""Пароль"", значение <Qwerty12>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется ошибка ""Вы заполняете поле в неверном формате.""","Появляется ошибка ""Вы заполняете поле в неверном формате.""",,,
9,TL-A-18 Словарь данных,Проверка ввода валидных данных ранее зарегистрированного пользователя,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""e-mail"" валидный адрес эл. почты, значение <olga.maksimova.trainlab@gmail.com>
2. Заполнить поле ""Логин"", значение <olga>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""","Появляется сообщение: ""Пользователь с таким адресом электронной почты уже зарегистрирован в системе. Хотите авторизироваться?  ""



","Появляется сообщение: ""registration error..""",,,баг
10,TL-A-18 Словарь данных,Проверка ввода адреса эл. почты с цифрами в именной части user123@gm.ru,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты , значение <user123@gm.ru>
2. Заполнить поле ""Логин"", значение <lolik>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Не появляется сообщение об успешной регистрации: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""  Нет перехода в личный кабинет участника",,,
